Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
House,PKR2.1 Crore,,,,"Defence Road, Rawalpindi, Punjab",4,5 Marla,For Sale,4,3 hours ago,"['Main Features, Built in year: 2023, Flooring']","['Rooms, Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Mosque, Community Centre']"
House,PKR28 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",3,3.5 Marla,For Sale,3,3 hours ago,"['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service']",['Other Facilities\r\nSecurity Staff'],[]
House,PKR45 Lakh,,,,"Samarzar Housing Society, Rawalpindi, Punjab",2,3 Marla,For Sale,2,3 hours ago,"['Main Features, Waste Disposal, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Kitchens: 1, Store Rooms: 1, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Mosque']"
House,PKR95 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",2,6.5 Marla,For Sale,2,3 hours ago,"['Main Features, Parking Spaces: 1, Flooring, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Kids Play Area, Mosque, Community Centre']"
House,PKR42 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",2,3.5 Marla,For Sale,2,3 hours ago,"['Rooms, Bathrooms: 2, Drawing Room, Kitchens: 1']",[],[],[]
House,PKR1.2 Crore,,,,"Adiala Road, Rawalpindi, Punjab",4,5 Marla,For Sale,4,3 hours ago,"['Main Features, Built in year: 3, Parking Spaces: 1, Public Parking, Underground Parking, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Floors in Building: 8, Elevator or Lift, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.2 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,2 weeks ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR6.75 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,6,2 weeks ago,"['Main Features, Built in year: 2020, Parking Spaces: 2, Public Parking, Underground Parking, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors: 2, Floors in Building: 5, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Rooms: 15, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR7.85 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,7,2 weeks ago,"['Main Features, Built in year: 2012, Parking Spaces: 5, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features']",[],[],[]
House,PKR12.7 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,5,2 weeks ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Flooring, Electricity Backup, Floors: 2']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']",[]
House,PKR9 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,6,2 weeks ago,"['Main Features, Built in year: 2019, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features']","['Rooms, Bedrooms: 9, Bathrooms: 10, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR4.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,15 Marla,For Sale,5,5 days ago,"['Main Features, Built in year, Double Glazed Windows, Flooring, Floors']","['Rooms, Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Mosque, Community Centre, Other Community Facilities']"
House,PKR4.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,10 Marla,For Sale,5,5 days ago,"['Main Features, Flooring, Electricity Backup']","['Rooms, Drawing Room, Dining Room, Laundry Room']","['Plot Features, Possesion, Sewerage, Electricity, Water Supply, Sui Gas']","['Community Features, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR95 Lakh,PKR92 Lakh,PKR20 Thousand,15 Months,"Adiala Road, Rawalpindi, Punjab",4,5 Marla,For Sale,3,5 days ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 9, Floors: 1, Floors in Building: 10, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 4, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR75 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",3,5 Marla,For Sale,2,5 days ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building, Elevators, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Sewerage, Electricity, Water Supply']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
Flat,PKR1.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",2,7.1 Marla,For Sale,2,5 days ago,"['Main Features, Built in year: 2023, Flooring, Floor: 2, Floors in Building: 3']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Kitchens: 1, Store Rooms: 1']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']",[]
House,PKR4.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building: 11, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR2.85 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,7 Marla,For Sale,5,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Waste Disposal, Floor, Floors, Floors in Building: 5, Elevators, Service Elevators in Building, Furnished']","['Rooms, Rooms, Bedrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines']"
House,PKR98 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",2,4 Marla,For Sale,2,6 hours ago,"['Main Features, Double Glazed Windows']","['Rooms, Drawing Room, Dining Room, Lounge or Sitting Room']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access']"
House,PKR5.4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,6 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Powder Room Lounge or Sitting Room']","['Plot Features, Possesion, Park Facing, Balloted, Sewerage, Electricity, Water Supply, Sui Gas']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']"
House,PKR3 Crore,,,,"Gulraiz Housing Scheme, Rawalpindi, Punjab",5,10 Marla,For Sale,5,6 hours ago,"['Main Features, Double Glazed Windows']","['Rooms, Dining Room, Lounge or Sitting Room']","['Business and Communication, Broadband Internet Access']","['Community Features, Community Lawn or Garden, Community Centre']"
House,PKR3.1 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,9 Marla,For Sale,5,6 hours ago,"['Main Features, Double Glazed Windows']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Sewerage, Electricity, Water Supply, Sui Gas']","['Business and Communication, Broadband Internet Access']"
House,PKR75 Lakh,,,,"Chakri Road, Rawalpindi, Punjab",6,5 Marla,For Sale,6,7 hours ago,"['Main Features, Built in year, Parking Spaces, Double Glazed Windows, Flooring, Electricity Backup, Floors, Other Main Features, Furnished']","['Rooms, Drawing Room, Dining Room, Lounge or Sitting Room']","['Business and Communication, Broadband Internet Access']","['Community Features, Community Lawn or Garden, Mosque, Community Centre']"
House,PKR45 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",2,2 Marla,For Sale,2,3 hours ago,"['Main Features, Flooring, Electricity Backup, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Kitchens: 1']",['Other Facilities\r\nSecurity Staff'],[]
House,PKR60 Lakh,,,,"Adiala Road, Rawalpindi, Punjab",3,4 Marla,For Sale,2,3 hours ago,"['Main Features, Built in year: 6, Flooring, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 3, Dining Room, Kitchens: 1']","['Community Features, Kids Play Area, Mosque']",[]
House,PKR1.3 Crore,,,,"Adiala Road, Rawalpindi, Punjab",3,7 Marla,For Sale,3,3 hours ago,"['Main Features, Built in year: 4, Parking Spaces: 1, Double Glazed Windows, Flooring']","['Rooms, Bedrooms: 2, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Store Rooms: 1, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque, Community Centre']"
House,PKR5.35 Crore,,,,"Media Town, Rawalpindi, Punjab",6,12 Marla,For Sale,6,3 hours ago,"['Main Features, Built in year: 4500, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR4.9 Crore,,,,"Media Town, Rawalpindi, Punjab",6,12 Marla,For Sale,6,3 hours ago,"['Main Features, Built in year: 2021, Flooring, Waste Disposal']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room Store Rooms: 1']","['Community Features, Mosque']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Distance From Airport (kms)']"
House,PKR5.25 Crore,,,,"Media Town, Rawalpindi, Punjab",8,12 Marla,For Sale,6,3 hours ago,"['Main Features, Parking Spaces: 1, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.2 Crore,,,,"Shalley Valley, Rawalpindi, Punjab",3,5 Marla,For Sale,2,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 3, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.35 Crore,,,,"Media Town, Rawalpindi, Punjab",6,12 Marla,For Sale,7,3 hours ago,"['Main Features, Double Glazed Windows, Flooring, Electricity Backup']","['Rooms, Bedrooms: 7, Bathrooms: 9, Servant Quarters, Drawing Room, Dining Room, Kitchens']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Community Lawn or Garden, Community Swimming Pool']"
House,PKR4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,2 weeks ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR18.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.3 Kanal,For Sale,6,2 weeks ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,3 weeks ago,"['Main Features, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Plot Features, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Community Features, Mosque']"
House,PKR4.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,3 weeks ago,"['Main Features, Built in year: 2015, Parking Spaces: 2, Central Heating, Flooring, Electricity Backup, Waste Disposal']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Lounge or Sitting Room']","['Plot Features, Possesion, Corner, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Satellite or Cable TV Ready, Intercom']"
House,PKR4.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,10 Marla,For Sale,5,3 weeks ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR2.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",4,5 Marla,For Sale,3,6 days ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR9.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.3 Kanal,For Sale,6,6 days ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms:  5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3.25 Crore,PKR3 Crore,PKR5 Lakh,5 Months,"Gulshan Abad, Rawalpindi, Punjab",6,10 Marla,For Sale,7,6 days ago,"['Main Features, Built in year, Parking Spaces: 1, Public Parking, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Floors in Building: 2']","['Rooms, Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR1.36 Crore,,,,"Adiala Road, Rawalpindi, Punjab",3,6 Marla,For Sale,4,6 days ago,"['Plot Features, Possesion, Park Facing, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Nearby Locations and Other Facilities, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']","['Other Facilities\r\nSecurity Staff, Other Facilities']",[]
House,PKR4.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,6 days ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR9.95 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,6,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, First Aid or Medical Centre, Kids Play Area, Mosque']"
House,PKR8.75 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,5,9 hours ago,"['Main Features, Parking Spaces, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Gym']"
Flat,PKR3.6 Crore,,,,"Askari 13, Rawalpindi, Punjab",4,13.3 Marla,For Sale,3,7 hours ago,"['Main Features, Built in year: 2020, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR7.5 Crore,,,,"Media Town, Rawalpindi, Punjab",5,16 Marla,For Sale,5,7 hours ago,"['Main Features, Built in year: 2021, Parking Spaces: 5, Double Glazed Windows, Central Air Conditioning, Central Heating, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
